Date,Open,High,Low,Close,Adj Close,Volume
2005-02-18,120.360001,120.669998,120.089996,120.500000,84.576141,393000
2005-02-22,120.019997,120.599998,118.739998,118.760002,83.354843,984900
2005-02-23,119.080002,119.690002,118.830002,119.639999,83.972473,650300
2005-02-24,119.430000,120.470001,119.180000,120.360001,84.477852,374300
2005-02-25,120.410004,121.650002,120.349998,121.570000,85.327103,1302400
2005-02-28,121.239998,121.480003,120.260002,120.750000,84.751595,594600
2005-03-01,121.029999,121.650002,121.029999,121.430000,85.228867,368400
2005-03-02,120.949997,122.029999,120.809998,121.400002,85.207787,481800
2005-03-03,121.779999,122.010002,120.900002,121.419998,85.221855,240600
2005-03-04,122.139999,122.930000,121.980003,122.849998,86.225525,297000
2005-03-07,122.790001,123.360001,122.739998,122.980003,86.316772,549300
2005-03-08,122.809998,123.029999,122.300003,122.459999,85.951797,397800
2005-03-09,122.199997,122.430000,121.160004,121.180000,85.053391,602000
2005-03-10,121.449997,121.629997,120.650002,121.470001,85.256943,1128400
2005-03-11,121.430000,121.930000,120.370003,120.610001,84.653313,450500
2005-03-14,120.800003,121.290001,120.500000,121.290001,85.130630,345200
2005-03-15,121.550003,121.610001,120.279999,120.330002,84.456802,902200
2005-03-16,119.970001,120.010002,119.080002,119.279999,83.719810,798500
2005-03-17,119.489998,119.860001,119.139999,119.570000,83.923347,588800
2005-03-18,119.730003,119.730003,118.769997,119.089996,83.586464,899400
2005-03-21,119.309998,119.360001,118.360001,118.739998,83.340813,1556900
2005-03-22,118.930000,119.470001,117.489998,117.489998,82.463463,1573000
2005-03-23,117.620003,118.160004,117.400002,117.690002,82.603859,1816200
2005-03-24,118.029999,118.559998,117.690002,117.720001,82.624908,477900
2005-03-28,117.230003,117.790001,117.199997,117.230003,82.802185,633700
2005-03-29,116.959999,117.800003,116.180000,116.510002,82.293625,561000
2005-03-30,116.639999,118.099998,116.610001,118.099998,83.416679,675700
2005-03-31,117.940002,118.309998,117.750000,117.820000,83.218918,1266300
2005-04-01,118.599998,118.849998,116.809998,117.239998,82.809235,868200
2005-04-04,117.300003,117.709999,116.620003,117.570000,83.042358,429500
2005-04-05,117.599998,118.230003,117.599998,117.989998,83.338974,401400
2005-04-06,118.320000,118.849998,118.080002,118.550003,83.734543,282100
2005-04-07,118.349998,119.180000,118.250000,119.099998,84.123032,226100
2005-04-08,119.070000,119.070000,117.870003,117.870003,83.254242,157100
2005-04-11,118.239998,118.309998,117.790001,118.000000,83.346024,625700
2005-04-12,117.760002,118.919998,117.000000,118.669998,83.819298,451500
2005-04-13,118.389999,118.559998,117.010002,117.230003,82.802185,359900
2005-04-14,117.250000,117.379997,115.730003,115.730003,81.742683,772700
2005-04-15,115.650002,116.040001,114.050003,114.070000,80.570198,2020800
2005-04-18,114.139999,114.820000,113.900002,114.400002,80.803307,2576500
2005-04-19,114.959999,115.419998,114.739998,115.309998,81.446053,822800
2005-04-20,115.330002,115.459999,113.529999,113.660004,80.280617,586700
2005-04-21,114.809998,116.000000,114.279999,115.900002,81.862770,514800
2005-04-22,115.650002,115.839996,114.190002,115.480003,81.566132,418100
2005-04-25,115.849998,116.349998,115.620003,116.250000,82.109993,1197100
2005-04-26,115.870003,116.489998,115.089996,115.139999,81.325981,357400
2005-04-27,114.830002,115.949997,114.370003,115.570000,81.629715,719800
2005-04-28,115.300003,115.580002,114.070000,114.070000,80.570198,474100
2005-04-29,114.919998,115.769997,113.900002,115.699997,81.721527,645300
2005-05-02,115.959999,116.309998,115.410004,116.199997,82.074677,424700
2005-05-03,115.989998,116.699997,115.589996,116.519997,82.300705,532500
2005-05-04,116.449997,117.589996,116.169998,117.339996,82.879890,212300
2005-05-05,117.529999,117.889999,116.709999,117.309998,82.858704,506100
2005-05-06,117.769997,117.800003,117.040001,117.050003,82.675056,209900
2005-05-09,117.120003,117.919998,116.949997,117.739998,83.162415,220600
2005-05-10,117.260002,117.330002,116.279999,116.510002,82.293625,465600
2005-05-11,116.900002,117.250000,115.779999,117.220001,82.795113,420600
2005-05-12,117.230003,117.410004,115.879997,115.900002,81.862770,410800
2005-05-13,116.160004,116.500000,114.699997,115.669998,81.700310,507300
2005-05-16,115.580002,116.720001,115.580002,116.709999,82.434898,700700
2005-05-17,116.320000,117.559998,116.110001,117.480003,82.978745,266700
2005-05-18,117.959999,118.910004,117.879997,118.739998,83.868736,622800
2005-05-19,118.849998,119.279999,118.610001,119.209999,84.200714,384400
2005-05-20,119.239998,119.239998,118.660004,119.070000,84.101852,393500
2005-05-23,119.120003,119.910004,119.070000,119.680000,84.532677,1264700
2005-05-24,119.309998,119.709999,119.110001,119.449997,84.370216,671000
2005-05-25,119.250000,119.330002,118.720001,119.250000,84.228958,569400
2005-05-26,119.580002,120.089996,119.519997,119.940002,84.716339,328600
2005-05-27,119.910004,120.150002,119.750000,120.150002,84.864639,207400
2005-05-31,119.980003,119.980003,119.290001,119.339996,84.292526,531300
2005-06-01,119.419998,120.809998,119.400002,120.459999,85.083618,493600
2005-06-02,120.199997,120.699997,120.040001,120.699997,85.253159,644800
2005-06-03,120.400002,120.730003,119.669998,119.980003,84.744545,224700
2005-06-06,119.870003,120.080002,119.500000,120.029999,84.779907,1244700
2005-06-07,120.209999,121.129997,119.940002,120.070000,84.808151,684500
2005-06-08,120.300003,120.459999,119.589996,119.800003,84.617424,204400
