Date,Open,High,Low,Close,Adj Close,Volume
2005-01-03,94.617592,94.741875,92.973228,93.451241,54.325985,5538779
2005-01-04,93.441681,94.091782,92.275337,92.447418,53.742443,5973706
2005-01-05,92.351814,93.527725,92.160614,92.256210,53.631298,5906448
2005-01-06,92.294456,92.715103,91.826004,91.969406,53.464561,4771538
2005-01-07,92.256210,92.543022,91.271507,91.567879,53.231136,6485932
2005-01-10,91.567879,91.864243,91.051628,91.472275,53.175583,4837855
2005-01-11,91.472275,91.577438,90.544930,90.822182,52.797653,4964734
2005-01-12,90.822182,91.089867,89.923515,91.022942,52.914356,6096716
2005-01-13,91.195030,91.969406,89.579353,90.296364,52.491978,5585012
2005-01-14,89.875717,90.105164,89.435944,89.961761,52.297459,5774757
2005-01-18,89.531548,91.147224,89.502869,90.726578,52.742035,8882737
2005-01-19,90.774376,90.965584,88.843208,89.005737,51.741692,7690924
2005-01-20,88.537285,89.713196,88.527725,88.910133,51.686131,5971196
2005-01-21,88.910133,89.196938,88.173996,88.317398,51.341557,7324720
2005-01-24,88.623329,88.766731,87.724663,87.753349,51.013657,6838016
2005-01-25,87.934990,88.518166,87.906311,88.135757,51.235928,5303952
2005-01-26,88.240921,88.785851,87.896751,87.906311,51.102581,5598192
2005-01-27,87.476097,88.164436,87.418739,87.934990,51.119228,4965257
2005-01-28,88.604210,89.474190,88.413002,88.804970,51.624981,6234788
2005-01-31,89.531548,89.818359,88.957932,89.311661,51.919533,4978855
2005-02-01,89.550667,89.866158,89.263863,89.732315,52.164063,3804720
2005-02-02,89.655830,90.200768,89.512428,90.152962,52.408604,3762880
2005-02-03,89.741875,89.808792,88.967499,89.426384,51.986229,4109420
2005-02-04,88.919693,90.573616,88.910133,90.353729,52.525311,3982750
2005-02-07,90.200768,90.726578,90.181641,90.372849,52.536438,2968339
2005-02-08,90.066925,90.478012,89.990440,89.990440,52.413929,3703991
2005-02-09,90.000000,90.659653,88.470360,88.623329,51.617657,5917327
2005-02-10,88.862335,89.005737,88.240921,88.680687,51.651081,5060966
2005-02-11,88.623329,89.837479,88.432121,89.196938,51.951759,4423848
2005-02-14,89.063095,89.885277,89.063095,89.455070,52.102119,3000765
2005-02-15,89.388145,90.506691,89.369026,90.181641,52.525299,4338808
2005-02-16,90.086044,90.793503,90.057358,90.458893,52.686760,4671959
2005-02-17,90.344170,90.592735,89.617592,89.627151,52.202343,4449893
2005-02-18,89.627151,90.105164,88.814529,89.168259,51.935055,4461504
2005-02-22,88.594643,89.388145,88.173996,88.260040,51.406075,5047055
2005-02-23,88.231361,88.374763,87.523903,88.049713,51.283558,5881449
2005-02-24,87.934990,88.996178,87.810707,88.565964,51.584270,4344979
2005-02-25,88.288719,88.718925,88.231361,88.718925,51.673351,4266111
2005-02-28,88.460800,88.680687,88.346077,88.508606,51.550869,5177491
2005-03-01,88.565964,89.321220,88.518166,89.196938,51.951759,3995615
2005-03-02,88.671127,89.608032,88.671127,88.833649,51.740162,4672900
2005-03-03,89.053535,89.110901,88.145317,88.346077,51.456188,4223539
2005-03-04,88.852776,89.082214,88.298279,88.307838,51.433922,4972684
2005-03-07,88.288719,88.441681,87.562141,87.571701,51.005146,7371057
